ensembl_id,gene_name,baseMean,TP317_300_vs_CONTR_log2FC,TP317_300_vs_CONTR_pvalue,TP317_300_vs_CONTR_padj
ENSMUSG00000006932,Ctnnb1,19182.78728222309,0.029798238751310935,0.8010133335267469,0.9896287216067934
ENSMUSG00000007041,Clic1,18681.996540762015,-0.20102794960514547,0.345926909979536,0.9896287216067934
ENSMUSG00000024991,Eif3a,19060.51128224123,0.25253308894120247,0.3893150029119664,0.9896287216067934
ENSMUSG00000032959,Pebp1,18123.184857010856,-0.28749177315951707,0.1884340818993233,0.9896287216067934
ENSMUSG00000030432,Rpl28,18448.84144034475,-0.08086137593446031,0.5210621678276753,0.9896287216067934
ENSMUSG00000024610,Cd74,18904.95500077541,-0.01369498830753194,0.962276479445742,0.9896287216067934
ENSMUSG00000026796,Fam129b,18303.865645550897,0.29311905021368523,0.13545048562827094,0.9896287216067934
ENSMUSG00000040385,Ppp1ca,18804.90816477907,-0.3578539656718076,0.10952931628903126,0.9896287216067934
ENSMUSG00000003429,Rps11,18336.11310970115,-0.46009534925332,0.0604561616834081,0.9896287216067934
ENSMUSG00000071415,Rpl23,18108.12492732468,-0.07634899384781205,0.4892683450338241,0.9896287216067934
ENSMUSG00000040952,Rps19,18175.110881816858,-0.37508373700663816,0.11808631998657318,0.9896287216067934
ENSMUSG00000097971,Gm26917,17846.385729555204,0.8068129896890017,0.05327334270795378,0.9896287216067934
ENSMUSG00000033161,Atp1a1,18475.041962243828,0.16648227261903073,0.3777013101718686,0.9896287216067934
ENSMUSG00000001924,Uba1,18712.213751351745,0.0456587925617568,0.6717196041335565,0.9896287216067934
ENSMUSG00000028656,Cap1,18498.079029822613,-0.036998414668988434,0.6988524722119074,0.9896287216067934
ENSMUSG00000049517,Rps23,17999.267309701874,-0.03926482870525123,0.6933027061613779,0.9896287216067934
ENSMUSG00000012405,Rpl15,18272.986639134157,-0.3133871047977218,0.1380060070041541,0.9896287216067934
ENSMUSG00000030122,Ptms,18219.030138050988,0.09196846289493978,0.23618218691325155,0.9896287216067934
ENSMUSG00000002900,Lamb1,18581.473259418297,0.25029568055178825,0.3826436216539226,0.9896287216067934
ENSMUSG00000040463,Mybbp1a,18464.44659133285,0.10943120584153271,0.40850023620589015,0.9896287216067934
ENSMUSG00000029860,Zyx,18112.97105158146,0.3811230220553391,0.06708312857400926,0.9896287216067934
ENSMUSG00000018965,Ywhah,18101.730216616244,-0.05036986142855253,0.6044141534955115,0.9896287216067934
ENSMUSG00000022462,Slc38a2,18203.774738018466,0.13242777757986754,0.48442314339633796,0.9896287216067934
ENSMUSG00000051223,Bzw1,18171.757728278,-0.21823929409846846,0.13522102448304202,0.9896287216067934
ENSMUSG00000025153,Fasn,18426.894830505076,0.20727725732395022,0.561080593976603,0.9896287216067934
ENSMUSG00000005198,Polr2a,18546.958613958068,0.2039587453912933,0.5969745035340911,0.9896287216067934
ENSMUSG00000069516,Lyz2,17288.608522904495,-0.5048048730189831,0.1041504434782222,0.9896287216067934
ENSMUSG00000029840,Mtpn,18033.208728714948,-0.03067535656456552,0.6900490241854766,0.9896287216067934
ENSMUSG00000063870,Chd4,18275.68213187373,0.24994605290623823,0.40424246295655053,0.9896287216067934
ENSMUSG00000015837,Sqstm1,17651.575088956743,-0.00643199806721871,0.9229220950005047,0.9896287216067934
ENSMUSG00000023175,Bsg,16348.877966730755,-0.20930721616857764,0.3447437758873967,0.9896287216067934
ENSMUSG00000006998,Psmd2,17545.564664689613,0.11442309304073667,0.30155500230890453,0.9896287216067934
ENSMUSG00000061787,Rps17,17297.415054819536,-0.10088058423468953,0.486798297147113,0.9896287216067934
ENSMUSG00000028936,Rpl22,16902.08942024515,-0.09005201261569061,0.5011000516212897,0.9896287216067934
ENSMUSG00000040731,Eif4h,17182.49360053583,0.06096813510074689,0.48253846032300296,0.9896287216067934
ENSMUSG00000030057,Cnbp,17045.30208199652,-0.1665574143021843,0.2088266636039956,0.9896287216067934
ENSMUSG00000009927,Rps25,17084.531794253613,-0.45764765612272934,0.05969701757409193,0.9896287216067934
ENSMUSG00000025967,Eef1b2,16755.517581972872,-0.34275485201626155,0.1294375841272375,0.9896287216067934
ENSMUSG00000006498,Ptbp1,17367.5266765891,0.19861341287277165,0.3258081135319655,0.9896287216067934
ENSMUSG00000072235,Tuba1a,17114.850084755515,-0.49365794207563396,0.04819487875729993,0.9896287216067934
